model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Clustering,806,10,0.0,0.0,0.0,13,80
Clustering,806,20,0.0,0.0,0.0,13,80
Clustering,806,40,0.0,0.0,0.0,13,80
Clustering,806,80,0.0,0.0,0.0,13,80
Clustering,656,5,0.0,0.0,0.0,25,80
Clustering,656,10,0.0,0.0,0.0,25,80
Clustering,656,20,0.0,0.0,0.0,25,80
Clustering,656,40,0.0,0.0,0.0,25,80
Clustering,656,80,0.025,0.08,0.21008384030866697,25,80
Clustering,4820,5,0.0,0.0,0.0,6,80
Clustering,4820,10,0.0,0.0,0.0,6,80
Clustering,4820,20,0.0,0.0,0.0,6,80
Clustering,4820,40,0.0,0.0,0.0,6,80
Clustering,4820,80,0.0125,0.16666666666666666,0.17718382013555792,6,80
Clustering,2517,5,0.0,0.0,0.0,5,80
Clustering,2517,10,0.0,0.0,0.0,5,80
Clustering,2517,20,0.0,0.0,0.0,5,80
Clustering,2517,40,0.0,0.0,0.0,5,80
Clustering,2517,80,0.0,0.0,0.0,5,80
Clustering,5672,5,0.0,0.0,0.0,3,80
Clustering,5672,10,0.0,0.0,0.0,3,80
Clustering,5672,20,0.0,0.0,0.0,3,80
Clustering,5672,40,0.0,0.0,0.0,3,80
Clustering,5672,80,0.0,0.0,0.0,3,80
Clustering,24,5,0.0,0.0,0.0,22,80
Clustering,24,10,0.0,0.0,0.0,22,80
Clustering,24,20,0.0,0.0,0.0,22,80
Clustering,24,40,0.0,0.0,0.0,22,80
Clustering,24,80,0.0,0.0,0.0,22,80
Clustering,1422,5,0.0,0.0,0.0,35,80
Clustering,1422,10,0.0,0.0,0.0,35,80
Clustering,1422,20,0.0,0.0,0.0,35,80
Clustering,1422,40,0.0,0.0,0.0,35,80
Clustering,1422,80,0.0,0.0,0.0,35,80
Clustering,5656,5,0.0,0.0,0.0,1,80
Clustering,5656,10,0.0,0.0,0.0,1,80
Clustering,5656,20,0.0,0.0,0.0,1,80
Clustering,5656,40,0.0,0.0,0.0,1,80
Clustering,5656,80,0.0,0.0,0.0,1,80
Clustering,5729,5,0.0,0.0,0.0,12,80
Clustering,5729,10,0.0,0.0,0.0,12,80
Clustering,5729,20,0.0,0.0,0.0,12,80
Clustering,5729,40,0.0,0.0,0.0,12,80
Clustering,5729,80,0.0,0.0,0.0,12,80
Clustering,2438,5,0.0,0.0,0.0,18,80
Clustering,2438,10,0.0,0.0,0.0,18,80
Clustering,2438,20,0.0,0.0,0.0,18,80
Clustering,2438,40,0.0,0.0,0.0,18,80
Clustering,2438,80,0.0,0.0,0.0,18,80
Clustering,4163,5,0.0,0.0,0.0,4,80
Clustering,4163,10,0.0,0.0,0.0,4,80
Clustering,4163,20,0.0,0.0,0.0,4,80
Clustering,4163,40,0.0,0.0,0.0,4,80
Clustering,4163,80,0.0,0.0,0.0,4,80
Clustering,1631,5,0.0,0.0,0.0,22,80
Clustering,1631,10,0.0,0.0,0.0,22,80
Clustering,1631,20,0.0,0.0,0.0,22,80
Clustering,1631,40,0.0,0.0,0.0,22,80
Clustering,1631,80,0.0,0.0,0.0,22,80
Clustering,2519,5,0.0,0.0,0.0,6,80
Clustering,2519,10,0.0,0.0,0.0,6,80
Clustering,2519,20,0.0,0.0,0.0,6,80
Clustering,2519,40,0.0,0.0,0.0,6,80
Clustering,2519,80,0.0,0.0,0.0,6,80
Clustering,3588,5,0.2,0.025,0.43067655807339306,40,80
Clustering,3588,10,0.1,0.025,0.43067655807339306,40,80
Clustering,3588,20,0.05,0.025,0.43067655807339306,40,80
Clustering,3588,40,0.075,0.075,0.40393974194069476,40,80
Clustering,3588,80,0.0375,0.075,0.40393974194069476,40,80
Clustering,2859,5,0.0,0.0,0.0,28,80
Clustering,2859,10,0.1,0.03571428571428571,0.3562071871080222,28,80
Clustering,2859,20,0.05,0.03571428571428571,0.3562071871080222,28,80
Clustering,2859,40,0.025,0.03571428571428571,0.3562071871080222,28,80
Clustering,2859,80,0.0125,0.03571428571428571,0.3562071871080222,28,80
Clustering,5387,5,0.0,0.0,0.0,76,80
Clustering,5387,10,0.0,0.0,0.0,76,80
Clustering,5387,20,0.0,0.0,0.0,76,80
Clustering,5387,40,0.0,0.0,0.0,76,80
Clustering,5387,80,0.0,0.0,0.0,76,80
Clustering,5636,5,0.0,0.0,0.0,68,80
Clustering,5636,10,0.0,0.0,0.0,68,80
Clustering,5636,20,0.0,0.0,0.0,68,80
Clustering,5636,40,0.0,0.0,0.0,68,80
Clustering,5636,80,0.0,0.0,0.0,68,80
Clustering,4492,5,0.0,0.0,0.0,3,80
Clustering,4492,10,0.0,0.0,0.0,3,80
Clustering,4492,20,0.0,0.0,0.0,3,80
Clustering,4492,40,0.0,0.0,0.0,3,80
Clustering,4492,80,0.0,0.0,0.0,3,80
Clustering,4745,5,0.0,0.0,0.0,9,80
Clustering,4745,10,0.0,0.0,0.0,9,80
Clustering,4745,20,0.0,0.0,0.0,9,80
Clustering,4745,40,0.0,0.0,0.0,9,80
Clustering,4745,80,0.0,0.0,0.0,9,80
Clustering,2968,5,0.0,0.0,0.0,36,80
Clustering,2968,10,0.0,0.0,0.0,36,80
Clustering,2968,20,0.0,0.0,0.0,36,80
Clustering,2968,40,0.0,0.0,0.0,36,80
Clustering,2968,80,0.0,0.0,0.0,36,80
Clustering,255,5,0.0,0.0,0.0,39,80
Clustering,255,10,0.0,0.0,0.0,39,80
Clustering,255,20,0.0,0.0,0.0,39,80
Clustering,255,40,0.0,0.0,0.0,39,80
Clustering,255,80,0.0,0.0,0.0,39,80
Clustering,2551,5,0.0,0.0,0.0,6,80
Clustering,2551,10,0.0,0.0,0.0,6,80
Clustering,2551,20,0.0,0.0,0.0,6,80
Clustering,2551,40,0.0,0.0,0.0,6,80
Clustering,2551,80,0.0,0.0,0.0,6,80
Clustering,1194,5,0.0,0.0,0.0,59,80
Clustering,1194,10,0.0,0.0,0.0,59,80
Clustering,1194,20,0.0,0.0,0.0,59,80
Clustering,1194,40,0.0,0.0,0.0,59,80
Clustering,1194,80,0.0125,0.01694915254237288,0.16260831227163416,59,80
Clustering,222,5,0.0,0.0,0.0,12,80
Clustering,222,10,0.0,0.0,0.0,12,80
Clustering,222,20,0.0,0.0,0.0,12,80
Clustering,222,40,0.0,0.0,0.0,12,80
Clustering,222,80,0.0,0.0,0.0,12,80
Clustering,1742,5,0.0,0.0,0.0,6,80
Clustering,1742,10,0.0,0.0,0.0,6,80
Clustering,1742,20,0.0,0.0,0.0,6,80
Clustering,1742,40,0.0,0.0,0.0,6,80
Clustering,1742,80,0.0,0.0,0.0,6,80
Clustering,4251,5,0.0,0.0,0.0,10,80
Clustering,4251,10,0.0,0.0,0.0,10,80
Clustering,4251,20,0.0,0.0,0.0,10,80
Clustering,4251,40,0.0,0.0,0.0,10,80
Clustering,4251,80,0.0125,0.1,0.16104477175644444,10,80
Clustering,4223,5,0.0,0.0,0.0,12,80
Clustering,4223,10,0.0,0.0,0.0,12,80
Clustering,4223,20,0.0,0.0,0.0,12,80
Clustering,4223,40,0.0,0.0,0.0,12,80
Clustering,4223,80,0.0,0.0,0.0,12,80
Clustering,1162,5,0.0,0.0,0.0,19,80
Clustering,1162,10,0.0,0.0,0.0,19,80
Clustering,1162,20,0.0,0.0,0.0,19,80
Clustering,1162,40,0.0,0.0,0.0,19,80
Clustering,1162,80,0.0,0.0,0.0,19,80
Clustering,1401,5,0.0,0.0,0.0,9,80
Clustering,1401,10,0.0,0.0,0.0,9,80
Clustering,1401,20,0.0,0.0,0.0,9,80
Clustering,1401,40,0.0,0.0,0.0,9,80
Clustering,1401,80,0.0,0.0,0.0,9,80
